client_id,legal_form,okved,business_age_months,history_months,has_rent,rent_amount_avg,equipment_spend_12m,equipment_spend_share,months_since_equipment,headcount,payroll_monthly,offline_txn_per_day,avg_ticket,online_acquiring_share,it_spend_monthly,has_insurance_payments,months_since_insurance,monthly_revenue,fixed_cost_ratio,revenue_volatility,gap_frequency_6m,gap_max_days,cash_buffer_days
1,самозанятый,74.20,20.0,2.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,375165.0,0.828,3210.0,0,,1088155.0,0.0,0.183,0.0,0.0,247.4
2,ИП,96.02,53.0,12.0,1,146667.0,900000.0,0.143,12.0,1.0,45000.0,6.1,2852.0,0.022,0.0,0,,453642.0,0.261,0.169,2.0,356.0,0.0
3,ООО,96.02,12.0,4.0,0,0.0,0.0,0.0,,8.0,520000.0,0.2,17654.0,0.114,4322.0,0,,49807.0,10.44,0.087,1.0,118.0,0.0
4,ООО,74.20,47.0,12.0,1,133333.0,350000.0,0.029,2.0,5.0,325000.0,0.1,1352566.0,0.537,25400.0,1,3.0,5597911.0,0.076,0.187,0.0,0.0,1657.0
5,ИП,74.20,92.0,12.0,0,0.0,350000.0,0.11,3.0,3.0,135000.0,0.0,525046.0,0.908,15500.0,0,,475710.0,0.284,0.321,0.0,0.0,283.1
6,ИП,96.02,39.0,12.0,1,270000.0,900000.0,0.172,4.0,2.0,110000.0,2.2,4746.0,0.08,4303.0,0,,282453.0,0.788,0.097,2.0,234.0,0.0
7,ИП,96.02,33.0,12.0,1,250000.0,900000.0,0.07,3.0,2.0,130000.0,7.5,5613.0,0.0,4813.0,0,,1084332.0,0.293,0.134,7.0,132.0,2.1
8,самозанятый,96.02,24.0,12.0,0,0.0,0.0,0.0,,0.0,0.0,0.9,10131.0,0.058,4720.0,1,12.0,196188.0,0.0,0.118,6.0,216.0,0.0
9,самозанятый,74.20,19.0,12.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,2134250.0,0.633,14828.0,0,,485163.0,0.0,0.337,0.0,0.0,1253.5
10,ООО,74.20,85.0,12.0,0,0.0,0.0,0.0,,5.0,325000.0,0.0,6959063.0,0.68,15059.0,1,10.0,1809800.0,0.18,0.271,0.0,0.0,711.6
11,ООО,96.02,60.0,12.0,1,100000.0,0.0,0.0,,7.0,455000.0,3.9,2850.0,0.09,2003.0,0,,310094.0,1.79,0.161,1.0,359.0,0.0
12,самозанятый,96.02,94.0,12.0,0,0.0,500000.0,0.153,2.0,0.0,0.0,0.9,9643.0,0.1,1948.0,1,5.0,189295.0,0.0,0.198,2.0,307.0,0.0
13,ООО,74.20,67.0,12.0,1,110000.0,700000.0,0.04,5.0,11.0,880000.0,0.0,5294976.0,0.573,2914.0,0,,1033348.0,0.923,0.199,4.0,295.0,0.0
14,ООО,96.02,16.0,12.0,1,262500.0,0.0,0.0,,8.0,360000.0,8.0,5331.0,0.055,2081.0,0,,1170233.0,0.457,0.1,2.0,310.0,0.0
15,ИП,74.20,91.0,3.0,0,70000.0,0.0,0.0,,1.0,45000.0,0.0,643728.0,0.604,25252.0,0,,542273.0,0.126,0.162,0.0,0.0,258.8
16,ООО,74.20,36.0,12.0,1,233333.0,700000.0,0.056,4.0,10.0,450000.0,0.0,8662948.0,0.864,2978.0,0,,5300132.0,0.118,0.069,0.0,0.0,1467.1
17,ИП,74.20,91.0,4.0,1,93333.0,0.0,0.0,,0.0,0.0,0.0,2195677.0,0.667,27467.0,0,,1649596.0,0.042,0.084,0.0,0.0,687.0
18,ООО,74.20,96.0,12.0,1,180000.0,0.0,0.0,,8.0,360000.0,0.6,73306.0,0.375,7802.0,0,,1583119.0,0.275,0.114,0.0,0.0,498.6
19,ИП,96.02,17.0,5.0,1,106667.0,0.0,0.0,,1.0,55000.0,11.2,5395.0,0.0,1858.0,0,,1579756.0,0.075,0.078,0.0,0.0,25.1
20,ИП,47.19,85.0,12.0,1,61875.0,200000.0,0.013,12.0,0.0,0.0,9.4,2610.0,0.578,5077.0,1,7.0,1735847.0,0.024,0.151,0.0,1.0,130.4
21,ИП,96.02,45.0,3.0,0,225000.0,1400000.0,0.395,2.0,1.0,80000.0,7.8,2695.0,0.046,4624.0,0,,577945.0,0.398,0.115,1.0,91.0,0.0
22,ООО,74.20,81.0,12.0,1,141429.0,180000.0,0.015,6.0,9.0,405000.0,0.0,18691428.0,0.729,24345.0,0,,5749001.0,0.085,0.094,0.0,0.0,1714.8
