client_id,applicable
1,
2,TENANT|PROP_MSB|EQUIP|GL|PRODQ
3,PROP_MSB|EQUIP|DMS|CYBER
4,TENANT|PROP_MSB|EQUIP|DMS|CYBER
5,PROP_MSB|EQUIP|CYBER
6,TENANT|PROP_MSB|EQUIP|PRODQ|CYBER
7,TENANT|PROP_MSB|EQUIP|GL|PRODQ|CYBER
8,
9,
10,DMS|CYBER
11,TENANT|PROP_MSB|PRODQ|DMS
12,
13,TENANT|PROP_MSB|EQUIP|DMS|CYBER
14,TENANT|PROP_MSB|GL|PRODQ|DMS
15,TENANT|PROP_MSB|EQUIP|CYBER
16,TENANT|PROP_MSB|EQUIP|DMS|CYBER
17,TENANT|PROP_MSB|EQUIP|CYBER
18,TENANT|PROP_MSB|DMS|CYBER
19,TENANT|PROP_MSB|GL|PRODQ
20,TENANT|PROP_MSB|GL|CYBER
21,TENANT|PROP_MSB|EQUIP|GL|PRODQ|CYBER
22,TENANT|PROP_MSB|DMS|CYBER
23,TENANT|PROP_MSB|GL|PRODQ|CYBER
24,TENANT|PROP_MSB|GL|CYBER
25,
26,TENANT|PROP_MSB|EQUIP|CYBER
27,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS|CYBER
28,TENANT|PROP_MSB|EQUIP|GL|PRODQ|CYBER
29,
30,TENANT|PROP_MSB|EQUIP|DMS|CYBER
31,TENANT|PROP_MSB|EQUIP|CYBER
32,
33,TENANT|PROP_MSB|GL|PRODQ
34,
35,TENANT|PROP_MSB|DMS|CYBER
36,TENANT|PROP_MSB|GL|PRODQ
37,TENANT|PROP_MSB|GL|CYBER
38,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
39,
40,TENANT|PROP_MSB|CYBER
41,
42,TENANT|PROP_MSB|EQUIP|DMS|CYBER
43,
44,
45,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
46,
47,CYBER
48,
49,
50,TENANT|PROP_MSB|EQUIP|DMS|CYBER
51,TENANT|PROP_MSB|CYBER
52,TENANT|PROP_MSB|EQUIP|DMS|CYBER
53,CYBER
54,
55,PROP_MSB|DMS
56,TENANT|PROP_MSB|EQUIP|GL
57,TENANT|PROP_MSB|EQUIP|GL|CYBER
58,TENANT|PROP_MSB|EQUIP|DMS|CYBER
59,PROP_MSB|EQUIP
60,TENANT|PROP_MSB|EQUIP|GL|PRODQ
61,TENANT|PROP_MSB|DMS|CYBER
62,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS|CYBER
63,TENANT|PROP_MSB|GL|CYBER
64,
65,TENANT|PROP_MSB|EQUIP|GL|PRODQ
66,TENANT|PROP_MSB|EQUIP|CYBER
67,TENANT|PROP_MSB|EQUIP|GL|PRODQ
68,
69,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
70,TENANT|PROP_MSB
71,TENANT|PROP_MSB|CYBER
72,TENANT|PROP_MSB|EQUIP|GL|PRODQ
73,TENANT|PROP_MSB|GL|CYBER
74,TENANT|PROP_MSB|EQUIP|GL|CYBER
75,TENANT|PROP_MSB|CYBER
76,TENANT|PROP_MSB|CYBER
77,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
78,TENANT|PROP_MSB|DMS|CYBER
79,TENANT|PROP_MSB|EQUIP|DMS|CYBER
80,PROP_MSB|EQUIP|CYBER
81,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
82,TENANT|PROP_MSB|EQUIP|DMS|CYBER
83,TENANT|PROP_MSB|EQUIP|PRODQ|DMS
84,TENANT|PROP_MSB|GL|PRODQ|DMS
85,TENANT|PROP_MSB|GL|PRODQ|DMS
86,
87,
88,
89,TENANT|PROP_MSB|CYBER
90,TENANT|PROP_MSB|GL|CYBER
91,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS|CYBER
92,
93,
94,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
95,
96,PROP_MSB|EQUIP|CYBER
97,TENANT|PROP_MSB|EQUIP|CYBER
98,TENANT|PROP_MSB|EQUIP|GL|PRODQ|CYBER
99,TENANT|PROP_MSB|EQUIP|GL|PRODQ|CYBER
100,
101,TENANT|PROP_MSB|CYBER
102,
103,TENANT|PROP_MSB|EQUIP|GL|PRODQ
104,TENANT|PROP_MSB|EQUIP|GL|PRODQ
105,TENANT|PROP_MSB|EQUIP|CYBER
106,TENANT|PROP_MSB|EQUIP|PRODQ|DMS
107,TENANT|PROP_MSB|EQUIP|GL|PRODQ
108,TENANT|PROP_MSB|GL|CYBER
109,
110,TENANT|PROP_MSB|GL|PRODQ|CYBER
111,TENANT|PROP_MSB|CYBER
112,
113,PROP_MSB|DMS
114,TENANT|PROP_MSB|EQUIP|DMS|CYBER
115,TENANT|PROP_MSB|PRODQ
116,
117,TENANT|PROP_MSB|GL|CYBER
118,TENANT|PROP_MSB|EQUIP|GL|PRODQ|CYBER
119,
120,
121,PROP_MSB|EQUIP|CYBER
122,
123,TENANT|PROP_MSB|GL|PRODQ|CYBER
124,
125,
126,
127,TENANT|PROP_MSB|CYBER
128,TENANT|PROP_MSB|EQUIP|GL|CYBER
129,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
130,
131,TENANT|PROP_MSB|GL|PRODQ|DMS
132,TENANT|PROP_MSB|GL|PRODQ|DMS
133,TENANT|PROP_MSB|GL|PRODQ
134,TENANT|PROP_MSB|EQUIP|DMS|CYBER
