industry_code;industry_name;region_code;region_name;population_k;ip_count;ip_growth_yoy_pct;avg_monthly_revenue_rub;revenue_p25_rub;revenue_p90_rub;closure_rate_12m_pct;entry_ease_index;seasonality_index;snapshot_date
cafe;Кафе и кофейни;msk;Москва;13000;3231;9,0;1492000;897000;2938000;22,4;54;0,35;2026-07-01
cafe;Кафе и кофейни;spb;Санкт-Петербург;5600;1611;8,2;1256000;748000;2711000;26,6;49;0,39;2026-07-01
cafe;Кафе и кофейни;mo;Московская область;8500;1710;10,6;1050000;628000;2246000;20,4;45;0,34;2026-07-01
cafe;Кафе и кофейни;krd;Краснодарский край;5800;1408;12,1;958000;583000;2001000;20,4;44;0,43;2026-07-01
cafe;Кафе и кофейни;sverdlovsk;Свердловская область;4200;699;5,8;927000;549000;1954000;17,4;47;0,36;2026-07-01
cafe;Кафе и кофейни;tatarstan;Республика Татарстан;3900;751;7,5;937000;543000;1849000;20,2;52;0,36;2026-07-01
cafe;Кафе и кофейни;nsk;Новосибирская область;2800;502;8,1;761000;438000;1681000;19,1;45;0,35;2026-07-01
cafe;Кафе и кофейни;rostov;Ростовская область;4100;632;4,1;697000;413000;1532000;17,4;44;0,39;2026-07-01
cafe;Кафе и кофейни;chelyabinsk;Челябинская область;3400;547;3,6;817000;480000;1693000;19,3;47;0,4;2026-07-01
cafe;Кафе и кофейни;nnov;Нижегородская область;3100;539;6,3;832000;473000;1808000;19,4;45;0,39;2026-07-01
cafe;Кафе и кофейни;samara;Самарская область;3100;501;4,0;723000;400000;1540000;19,7;44;0,37;2026-07-01
cafe;Кафе и кофейни;lenobl;Ленинградская область;2000;316;10,1;785000;455000;1639000;18,2;48;0,41;2026-07-01
cafe;Кафе и кофейни;bashkortostan;Республика Башкортостан;4000;760;7,7;731000;442000;1438000;20,7;47;0,37;2026-07-01
cafe;Кафе и кофейни;primorye;Приморский край;1850;295;7,3;898000;539000;1867000;16,5;40;0,4;2026-07-01
cafe;Кафе и кофейни;kaliningrad;Калининградская область;1030;166;10,2;807000;466000;1568000;15,4;48;0,5;2026-07-01
grocery;Продуктовый магазин у дома;msk;Москва;13000;4596;2,5;2302000;1841000;3676000;22,1;49;0,13;2026-07-01
grocery;Продуктовый магазин у дома;spb;Санкт-Петербург;5600;1849;-0,9;1999000;1622000;3278000;20,5;48;0,13;2026-07-01
grocery;Продуктовый магазин у дома;mo;Московская область;8500;2586;1,4;1942000;1592000;2998000;17,0;43;0,15;2026-07-01
grocery;Продуктовый магазин у дома;krd;Краснодарский край;5800;1911;4,1;1402000;1098000;2256000;18,9;38;0,17;2026-07-01
grocery;Продуктовый магазин у дома;sverdlovsk;Свердловская область;4200;937;-0,1;1249000;972000;1887000;16,3;36;0,14;2026-07-01
grocery;Продуктовый магазин у дома;tatarstan;Республика Татарстан;3900;1046;-1,0;1449000;1101000;2376000;18,0;47;0,1;2026-07-01
grocery;Продуктовый магазин у дома;nsk;Новосибирская область;2800;733;-2,3;1278000;1020000;2021000;16,4;39;0,13;2026-07-01
grocery;Продуктовый магазин у дома;rostov;Ростовская область;4100;1166;-4,3;1302000;1063000;1995000;20,5;36;0,17;2026-07-01
grocery;Продуктовый магазин у дома;chelyabinsk;Челябинская область;3400;904;-4,9;1241000;1008000;1919000;20,6;36;0,16;2026-07-01
grocery;Продуктовый магазин у дома;nnov;Нижегородская область;3100;735;-2,4;1289000;975000;1934000;16,2;38;0,14;2026-07-01
grocery;Продуктовый магазин у дома;samara;Самарская область;3100;816;-3,4;1250000;970000;1923000;17,0;41;0,16;2026-07-01
grocery;Продуктовый магазин у дома;lenobl;Ленинградская область;2000;510;1,7;1284000;1060000;2086000;16,7;40;0,2;2026-07-01
grocery;Продуктовый магазин у дома;bashkortostan;Республика Башкортостан;4000;1077;-1,1;1399000;1089000;2054000;18,1;41;0,14;2026-07-01
grocery;Продуктовый магазин у дома;primorye;Приморский край;1850;372;-1,9;1348000;1072000;1996000;14,2;35;0,17;2026-07-01
grocery;Продуктовый магазин у дома;kaliningrad;Калининградская область;1030;241;-0,2;1506000;1151000;2383000;16,8;44;0,22;2026-07-01
beauty;Барбершоп и салон красоты;msk;Москва;13000;4790;12,0;795000;551000;1430000;27,2;66;0,17;2026-07-01
