transaction_id;account_id;category_id;date;amount;direction;counterparty;payment_method
tx_0;account_1;1;24.03.2026;30725;outbound;OOO Romashka (rent);transfer
tx_1;account_1;1;25.04.2026;30950;outbound;OOO Romashka (rent);transfer
tx_2;account_1;1;24.05.2026;30842;outbound;OOO Romashka (rent);transfer
tx_3;account_1;1;22.06.2026;31258;outbound;OOO Romashka (rent);transfer
tx_4;account_1;3;04.04.2026;45102;outbound;salary;transfer
tx_5;account_1;3;20.04.2026;44816;outbound;salary;transfer
tx_6;account_1;3;04.05.2026;44847;outbound;salary;transfer
tx_7;account_1;3;19.05.2026;44919;outbound;salary;transfer
tx_8;account_1;3;05.06.2026;45108;outbound;salary;transfer
tx_9;account_1;3;18.06.2026;45087;outbound;salary;transfer
tx_10;account_1;3;03.07.2026;45166;outbound;salary;transfer
tx_11;account_1;3;20.07.2026;45159;outbound;salary;transfer
tx_12;account_1;4;21.03.2026;6724.71;inbound;Ecvaring;acquiring
tx_13;account_1;4;22.03.2026;6946.33;inbound;Ecvaring;acquiring
tx_14;account_1;4;23.03.2026;4032.49;inbound;Ecvaring;acquiring
tx_15;account_1;4;24.03.2026;7490.7;inbound;Ecvaring;acquiring
tx_16;account_1;4;25.03.2026;4777.4;inbound;Ecvaring;acquiring
tx_17;account_1;4;27.03.2026;4483.58;inbound;Ecvaring;acquiring
tx_18;account_1;4;28.03.2026;7018.63;inbound;Ecvaring;acquiring
tx_19;account_1;4;29.03.2026;7648.66;inbound;Ecvaring;acquiring
tx_20;account_1;4;30.03.2026;8865.58;inbound;Ecvaring;acquiring
tx_21;account_1;4;31.03.2026;6760.2;inbound;Ecvaring;acquiring
tx_22;account_1;4;01.04.2026;7092.6;inbound;Ecvaring;acquiring
tx_23;account_1;4;02.04.2026;6886.76;inbound;Ecvaring;acquiring
tx_24;account_1;4;03.04.2026;4229.12;inbound;Ecvaring;acquiring
tx_25;account_1;4;06.04.2026;5389.87;inbound;Ecvaring;acquiring
tx_26;account_1;4;07.04.2026;5824.16;inbound;Ecvaring;acquiring
tx_27;account_1;4;08.04.2026;5047.54;inbound;Ecvaring;acquiring
tx_28;account_1;4;09.04.2026;8683.27;inbound;Ecvaring;acquiring
tx_29;account_1;4;10.04.2026;7045.66;inbound;Ecvaring;acquiring
tx_30;account_1;4;11.04.2026;7645.63;inbound;Ecvaring;acquiring
tx_31;account_1;4;12.04.2026;5897.28;inbound;Ecvaring;acquiring
tx_32;account_1;4;13.04.2026;7200.0;inbound;Ecvaring;acquiring
tx_33;account_1;4;14.04.2026;7423.07;inbound;Ecvaring;acquiring
tx_34;account_1;4;15.04.2026;7880.0;inbound;Ecvaring;acquiring
tx_35;account_1;4;16.04.2026;4160.5;inbound;Ecvaring;acquiring
tx_36;account_1;4;17.04.2026;5338.7;inbound;Ecvaring;acquiring
tx_37;account_1;4;18.04.2026;8714.55;inbound;Ecvaring;acquiring
tx_38;account_1;4;19.04.2026;5573.39;inbound;Ecvaring;acquiring
tx_39;account_1;4;20.04.2026;5978.16;inbound;Ecvaring;acquiring
tx_40;account_1;4;21.04.2026;6294.26;inbound;Ecvaring;acquiring
tx_41;account_1;4;22.04.2026;5233.14;inbound;Ecvaring;acquiring
tx_42;account_1;4;23.04.2026;5313.71;inbound;Ecvaring;acquiring
tx_43;account_1;4;24.04.2026;8489.11;inbound;Ecvaring;acquiring
tx_44;account_1;4;25.04.2026;5096.6;inbound;Ecvaring;acquiring
tx_45;account_1;4;28.04.2026;7137.23;inbound;Ecvaring;acquiring
tx_46;account_1;4;30.04.2026;5908.1;inbound;Ecvaring;acquiring
tx_47;account_1;4;01.05.2026;6645.57;inbound;Ecvaring;acquiring
tx_48;account_1;4;03.05.2026;7603.61;inbound;Ecvaring;acquiring
