id;Мера;Организатор;Уровень;Тип;Аудитория;Сумма_мин_руб;Сумма_макс_руб;Софинансирование;Возраст;Окно_2026;Статус_на_19.07.2026;Постоянный_прием;Канал_подачи;Ключевые_условия;Стоп-факторы;Источник;Верифицировано;Примечание
fsi-student-startup;Студенческий стартап;Фонд содействия инновациям;федеральный;грант;студенты, аспиранты, ординаторы;1000000;1000000;нет;без ограничения, нужен статус обучающегося;до 18.03.2026 (6-я очередь);приём закрыт, ожидается новая очередь;нет;АС «Фонд-М», online.fasie.ru;"студент любого вуза РФ, в т.ч. иностранный; 7 направлений включая ИТ, биотех, креативные индустрии; регистрация ЮЛ после победы";ранее получал грант Фонда по этой программе;https://fasie.ru;да, 2026;В 2026 профинансировано около 2500 проектов. Самая низкая планка входа для студента
fsi-start-1;Старт-1;Фонд содействия инновациям;федеральный;грант;физлица и молодые компании;;5000000;нет;без ограничения;до 16.06.2026;приём закрыт;нет;АС «Фонд-М»;"компания зарегистрирована не ранее 3 лет назад; для победителей «Студенческого стартапа» — не ранее 2 лет; НИОКР с выходом на первые продажи";"налоговая задолженность; дисквалификация руководителя";https://fasie.ru;да, 2026;Сумма выросла до 5 млн (ранее 4 млн). Главный входной конкурс Фонда
fsi-start-ct-1;Старт-Цифровые технологии-1;Фонд содействия инновациям;федеральный;грант;физлица и компании до 3 лет, ИТ;;5000000;нет;без ограничения;весенняя очередь завершена;уточнять на сайте;нет;АС «Фонд-М»;"проект в сфере цифровых технологий; компания моложе 3 лет";налоговая задолженность;https://fasie.ru;частично;Отраслевая ветка «Старта» под ИТ
fsi-business-start;Бизнес-Старт;Фонд содействия инновациям;федеральный;грант;компании, завершившие программы «Старт»;;18000000;требуется внебюджетное;без ограничения;до 13.04.2026;приём закрыт;нет;АС «Фонд-М»;"завершён «Старт-1/2/НТИ/ЦТ/ЦП/ИИ»; допускаются и не участвовавшие ранее компании; выход на серийное производство";"налоговая задолженность; невыполненные обязательства по прошлым грантам";https://fasie.ru;да, 2026;Крупнейший грант Фонда для МСП
fsi-start;Старт (основная программа);Фонд содействия инновациям;федеральный;грант;малые инновационные предприятия;;10000000;внебюджетное, не менее установленной доли;без ограничения;очереди в течение года;уточнять на сайте;нет;АС «Фонд-М»;"НИОКР с переходом к первым продажам; проект должен развивать ранее выполненный этап";налоговая задолженность;https://fasie.ru;да, 2026;
young-entrepreneur-grant;Грант молодым предпринимателям;Минэкономразвития РФ через регионы;федерально-региональный;грант;ИП и учредители ЮЛ 14–25 лет;100000;500000;25%;14–25 лет включительно;устанавливает регион;зависит от региона, уточнять в «Мой бизнес»;нет;региональный орган власти, МСП.РФ;"статус МСП; регистрация в том же регионе, где подаётся заявка; обязательное обучение основам предпринимательства в «Мой бизнес»; до 18 лет — согласие родителей; ИП на НПД можно, самозанятым без ИП нельзя";"налоговая задолженность; не пройдено обучение; самозанятость без ИП";https://мсп.рф;частично;В Арктической зоне до 1 млн руб. Софинансирование снижено с 50% до 25%. Сроки приёма сильно разнятся по регионам
social-contract;Социальный контракт на открытие своего дела;Органы соцзащиты субъектов РФ;федеральный;субсидия;малоимущие граждане, ИП, самозанятые;;350000;нет;с 18 лет;круглогодично;приём открыт;да;Госуслуги, соцзащита, МФЦ;"среднедушевой доход семьи ниже регионального прожиточного минимума; защита бизнес-плана; в ряде регионов — тестирование предпринимательских компетенций; правило нулевого дохода не применяется; оценка имущества не проводится";"доход выше прожиточного минимума; соцконтракт уже заключался; недостоверные сведения о доходах";https://gosuslugi.ru;да, 2026;На ЛПХ до 200 тыс. Расходы: до 15% аренда, до 10% регистрация, до 5% реклама, остальное оборудование. С 2026 расширены условия для участников СВО и их семей
rosmol-grants-s1;Росмолодёжь.Гранты, 1 сезон (физлица);Росмолодёжь;федеральный;грант;физлица 14–35 лет;5000;1000000;нет;14–35 лет включительно;27.02.2026 – 15.04.2026;приём закрыт, итоги подведены 09.06.2026;нет;ФГАИС «Молодёжь России», myrosmol.ru;"гражданство РФ; одна заявка на человека в одну номинацию; 18 номинаций; реализация проекта июль 2026 – июнь 2027";"возраст вне диапазона; более одной заявки";https://fadm.gov.ru/directions/grant/;да, 2026;Социальные проекты, не коммерческие. Но порог входа самый низкий, и юрлицо не требуется
rosmol-grants-s2;Росмолодёжь.Гранты, 2 сезон;Росмолодёжь;федеральный;грант;физлица 14–35 лет;5000;1000000;нет;14–35 лет включительно;осенняя волна;следить за объявлением на myrosmol.ru;нет;ФГАИС «Молодёжь России»;аналогично 1 сезону, другой период реализации проекта;возраст вне диапазона;https://myrosmol.ru;частично;Второй заход в году для тех, кто не успел в весенний
rosmol-microgrants;Росмолодёжь.Гранты: Микрогранты;Росмолодёжь;федеральный;грант;физлица 14–35 лет;;300000;нет;14–35 лет включительно;летняя волна, июнь;требует проверки;нет;ФГАИС «Молодёжь России»;19 тематических направлений: социальные, культурные, образовательные, экологические проекты;средства нельзя на недвижимость, транспорт, премии, политические мероприятия;https://myrosmol.ru;нет, данные 2025;Параметры 2026 нужно сверить с объявлением конкурса
