avg_daily_income_30d,avg_daily_income_10d,income_volatility,income_trend,current_balance,upcoming_fixed_expenses_30d,n_recurring_patterns,avg_pattern_confidence,business_age_months,account_age_days,industry,gap_within_21d
3059.2,2743.64,0.646,0.897,8374.98,53269.0,2,0.4,29,872,IT,0
5241.3,4167.76,0.185,0.795,-3968.34,0.0,0,0.0,28,843,IT,1
4149.54,3513.46,0.464,0.847,545.63,44431.24,1,0.958,4,149,Beauty,0
8725.33,3450.08,0.415,0.395,6124.55,160149.79,4,0.384,7,223,IT,1
7540.63,5575.07,0.178,0.739,1051.58,0.0,0,0.0,9,289,Retail,0
8816.21,7147.72,0.105,0.811,7522.33,96590.45,4,0.453,13,413,Retail,0
6885.0,2687.15,0.475,0.39,20059.07,120931.41,3,0.528,34,1023,Services,1
9153.55,5849.39,0.543,0.639,5476.29,75259.12,2,0.921,5,169,IT,0
7185.85,3809.83,0.705,0.53,9975.8,63804.25,3,0.958,28,868,HoReCa,0
7471.11,4434.79,0.352,0.594,19280.83,56782.87,2,0.357,9,276,HoReCa,0
1939.29,1630.24,0.472,0.841,14122.9,109393.24,3,0.329,6,203,IT,1
6168.43,5922.91,0.6,0.96,3398.02,141207.87,4,0.473,32,975,Beauty,0
4781.87,5763.83,0.773,1.205,873.73,90706.07,4,0.536,12,385,Services,0
4029.9,1424.51,0.17,0.353,23756.24,35298.21,2,0.965,22,679,HoReCa,0
2221.12,1497.64,0.791,0.674,6119.26,105604.58,3,0.545,29,897,Services,1
2509.95,2382.47,0.182,0.949,17381.35,88321.77,4,0.67,20,620,IT,0
7320.21,8864.25,0.214,1.211,19676.12,27582.04,1,0.707,13,414,IT,0
1898.62,611.71,0.288,0.322,9944.96,80500.22,2,0.686,32,964,HoReCa,1
4479.99,3101.25,0.513,0.692,8124.25,24368.01,1,0.66,34,1043,IT,0
8931.7,11371.04,0.461,1.273,13058.06,25860.77,2,0.495,3,118,HoReCa,0
7340.91,7705.13,0.691,1.05,-4085.84,29028.38,1,0.673,7,224,Retail,0
6649.09,2671.49,0.266,0.402,-414.23,105994.79,3,0.339,6,188,Retail,1
2452.33,3113.16,0.378,1.269,20965.21,0.0,0,0.0,24,749,Services,0
6163.13,3092.23,0.484,0.502,15537.15,103729.45,3,0.717,10,323,Beauty,0
7854.68,4180.36,0.452,0.532,21987.24,33546.98,1,0.935,33,1008,Services,0
6633.64,5571.33,0.452,0.84,9590.72,121921.53,3,0.786,24,723,Services,0
3247.43,2934.77,0.651,0.904,-1571.98,108769.07,3,0.543,9,271,HoReCa,1
6490.08,7870.84,0.123,1.213,2446.79,0.0,0,0.0,17,516,Retail,0
3999.38,3310.08,0.6,0.828,11033.68,0.0,0,0.0,18,557,Retail,0
2345.25,2397.47,0.27,1.022,20670.89,105631.78,2,0.399,8,253,IT,1
2471.02,3176.17,0.496,1.285,9131.96,0.0,0,0.0,24,737,IT,0
2080.12,1533.45,0.686,0.737,22465.41,56585.74,2,0.633,26,794,IT,0
7654.88,9802.66,0.546,1.281,22100.91,125188.03,3,0.328,23,699,HoReCa,0
8221.15,7611.89,0.323,0.926,21579.33,49203.27,1,0.592,4,122,HoReCa,0
9849.81,8872.69,0.719,0.901,22111.72,15850.6,1,0.994,6,206,IT,0
5551.75,6396.69,0.131,1.152,-3937.33,0.0,0,0.0,28,844,Retail,0
